id_observacion,id_test,comentario
1,1,"mucha soltura"
2,2,"Muy buen manejo de la aplicación"
3,3,"Hay que realizar una mejora del tamaño de letra. Aplicación poco accesible para las personas mayores"
4,4,"Buen manejo de la aplicación pero ha echado en falta una mejor explicación de los apartados"
5,5,"Buen manejo pero se demoró un poco porque intentó buscar un buscador dentro de la aplicación"
6,6,"Hay que marcar mejor las opciones de menú"
7,7,"Mejoras aplicadas dan sus frutos"
